"id","field","code","name","description"
"iso20022_category_purpose_loan","category_purpose","LOAN","Loan","Transaction is related to the transfer of a loan to a borrower."
"iso20022_category_purpose_mp2b","category_purpose","MP2B","Commercial","Mobile P2B Payment"
"iso20022_category_purpose_mp2p","category_purpose","MP2P","Consumer","Mobile P2P Payment"
"iso20022_category_purpose_othr","category_purpose","OTHR","Other Payment","Other payment purpose."
"iso20022_category_purpose_pens","category_purpose","PENS","Pension Payment","Transaction is the payment of pension."
"iso20022_category_purpose_rpre","category_purpose","RPRE","Represented","Collection used to re-present previously reversed or returned direct debit transactions."
"iso20022_category_purpose_rrct","category_purpose","RRCT","Reimbursement Received Credit Transfer","Transaction is related to a reimbursement for commercial reasons of a correctly received credit transfer."
"iso20022_category_purpose_rvpm","category_purpose","RVPM","Receive Against Payment","Code used to pre-advise the account servicer of a forthcoming receive against payment instruction."
"iso20022_category_purpose_sala","category_purpose","SALA","Salary Payment","Transaction is the payment of salaries."
"iso20022_category_purpose_secu","category_purpose","SECU","Securities","Transaction is the payment of securities."
"iso20022_category_purpose_ssbe","category_purpose","SSBE","Social Security Benefit","Transaction is a social security benefit, ie payment made by a government to support individuals."
"iso20022_category_purpose_supp","category_purpose","SUPP","Supplier Payment","Transaction is related to a payment to a supplier."
"iso20022_category_purpose_taxs","category_purpose","TAXS","Tax Payment","Transaction is the payment of taxes."
"iso20022_category_purpose_trad","category_purpose","TRAD","Trade","Transaction is related to the payment of a trade finance transaction."
"iso20022_category_purpose_trea","category_purpose","TREA","Treasury Payment","Transaction is related to treasury operations.  E.g. financial contract settlement."
"iso20022_category_purpose_vatx","category_purpose","VATX","Value Added Tax Payment","Transaction is the payment of value added tax."
"iso20022_category_purpose_whld","category_purpose","WHLD","With Holding","Transaction is the payment of withholding tax."
"iso20022_category_purpose_swep","category_purpose","SWEP","Cash Management Sweep Account","Classification: Cash Management. Transaction relates to a cash management instruction, requesting a sweep of the account of the Debtor above an agreed floor amount, up to a target or zero balance._x000D_
The purpose is to move the funds from multiple accounts to a single bank account. Funds can move domestically or across border and more than one bank can be used."
"iso20022_category_purpose_topg","category_purpose","TOPG","Cash Management Top Account","Classification: Cash Management. Transaction relates to a cash management instruction, requesting to top the account of the Creditor above a certain floor amount, up to a target or zero balance. _x000D_
The floor amount, if not pre-agreed by the parties involved, may be specified."
"iso20022_category_purpose_zaba","category_purpose","ZABA","Cash Management Zero Balance Account","Transaction relates to a cash management instruction, requesting to zero balance the account of the Debtor._x000D_
Zero Balance Accounts empty or fill the balances in accounts at the same bank, in the same country into or out of a main account each day."
"iso20022_purpose_bkdf","purpose","BKDF","Bank Loan Delayed Draw Funding","Delayed draw funding. Certain issuers may utilize delayed draw loans whereby the lender is committed to fund cash
within a specified period once a call is made by the issuer. The lender receives a fee for entering into such a
commitment"
"iso20022_purpose_bkfe","purpose","BKFE","Bank Loan Fees","Bank loan fees. Cash activity related to specific bank loan fees, including (a) agent / assignment fees; (b) amendment fees; (c) commitment fees; (d) consent fees; (e) cost of carry fees; (f) delayed compensation fees; (g)
facility fees; (h) fronting fees; (i) funding fees; (j) letter of credit assignment fees"
"iso20022_purpose_bkfm","purpose","BKFM","Bank Loan Funding Memo","Bank loan funding memo. Net cash movement for the loan contract final notification when sent separately from the
loan contract final notification instruction."
"iso20022_purpose_bkip","purpose","BKIP","Bank Loan Accrued Interest Payment","Accrued interest payments. Specific to bank loans."
"iso20022_purpose_bkpp","purpose","BKPP","Bank Loan Principal Paydown","Principal paydowns. Specific to bank loans"
"iso20022_purpose_cblk","purpose","CBLK","Card Bulk Clearing","A Service that is settling money for a bulk of card transactions, while referring to a specific transaction file or other information like terminal ID, card acceptor ID or other transaction details."
"iso20022_purpose_cdcb","purpose","CDCB","Card Payment With Cash Back","Purchase of Goods and Services with additional Cash disbursement at the POI (Cashback)"
"iso20022_purpose_cdcd","purpose","CDCD","Cash Disbursement Cash Settlement","ATM Cash Withdrawal in an unattended or Cash Advance in an attended environment (POI or bank counter)"
"iso20022_purpose_cdcs","purpose","CDCS","Cash Disbursement With Surcharging","ATM Cash Withdrawal in an unattended or Cash Advance in an attended environment (POI or bank counter) with surcharging."
"iso20022_purpose_cddp","purpose","CDDP","Card Deferred Payment","A combined service which enables the card acceptor to perform an authorisation for a temporary amount and a completion for the final amount within a limited time frame. Deferred Payment is only available in the unattended environment.
Examples where this service is widely used are unattended petrol pumps and phone booths"
"iso20022_purpose_cdoc","purpose","CDOC","Original Credit","A service which allows the card acceptor to effect a credit to a cardholder' account. Unlike a Merchant Refund, an Original Credit is not preceded by a card payment. This service is used for example for crediting winnings from gaming."
"iso20022_purpose_cdqc","purpose","CDQC","Quasi Cash","Purchase of Goods which are equivalent to cash like coupons in casinos."
"iso20022_purpose_etup","purpose","ETUP","ePurse Top Up","Transaction is related to a Service that is first reserving money from a card account and then is loading an e-purse application by this amount."
"iso20022_purpose_fcol","purpose","FCOL","Fee Collection","A Service that is settling card transaction related fees between two parties."
"iso20022_purpose_mtup","purpose","MTUP","Mobile Top Up","A Service that is first reserving money from a card account and then is loading a prepaid mobile phone amount by this amount."
"iso20022_purpose_acct","purpose","ACCT","Account Management","Transaction moves funds between 2 accounts of same account holder at the same bank."
"iso20022_purpose_cash","purpose","CASH","Cash Management Transfer","Transaction is a general cash management instruction."
"iso20022_purpose_coll","purpose","COLL","Collection Payment","Transaction is a collection of funds initiated via a credit transfer or direct debit."
"iso20022_purpose_csdb","purpose","CSDB","Cash Disbursement Cash Management","Transaction is related to cash disbursement."
"iso20022_purpose_dept","purpose","DEPT","Deposit","Transaction is releted to a payment of deposit."
"iso20022_purpose_intc","purpose","INTC","Intra Company Payment","Transaction is an intra-company payment, ie, a payment between two companies belonging to the same group."
"iso20022_purpose_intp","purpose","INTP","Intra Party Payment","Transaction is a payment between two accounts belonging to the same party (intra-party payment), where party is a natural person (identified by a private ID, not organisation ID)."
"iso20022_purpose_lima","purpose","LIMA","Liquidity Management","Bank initiated account transfer to support zero target balance management, pooling or sweeping."
"iso20022_purpose_nett","purpose","NETT","Netting","Transaction is related to a netting operation."
"iso20022_purpose_bfwd","purpose","BFWD","Bond Forward","Cash collateral related to any securities traded out beyond 3 days which include treasury notes, JGBs and Gilts."
"iso20022_purpose_ccir","purpose","CCIR","Cross Currency IRS","Cash Collateral related to a Cross Currency Interest Rate Swap, indicating the exchange of fixed interest payments in one currency for those in another."
"iso20022_purpose_ccpc","purpose","CCPC","CCP Cleared Initial Margin","Cash Collateral associated with an ISDA or Central Clearing Agreement that is covering the initial margin requirements for OTC trades clearing through a CCP. "
"iso20022_purpose_ccpm","purpose","CCPM","CCP Cleared Variation Margin","Cash Collateral associated with an ISDA or Central Clearing Agreement that is covering the variation margin requirements for OTC trades clearing through a CCP. "
"iso20022_purpose_ccsm","purpose","CCSM","CCP Cleared Initial Margin Segregated Cash","CCP Segregated initial margin: Initial margin on OTC Derivatives cleared through a CCP that requires segregation"
"iso20022_purpose_crds","purpose","CRDS","Credit Default Swap","Cash collateral related to trading of credit default swap."
"iso20022_purpose_crpr","purpose","CRPR","Cross Product","Cash collateral related to a combination of various types of trades."
"iso20022_purpose_crsp","purpose","CRSP","Credit Support","Cash collateral related to cash lending/borrowing; letter of Credit; signing of master agreement."
"iso20022_purpose_crtl","purpose","CRTL","Credit Line","Cash collateral related to opening of a credit line before trading."
"iso20022_purpose_eqpt","purpose","EQPT","Equity Option","Cash collateral related to trading of equity option (Also known as stock options)."
"iso20022_purpose_equs","purpose","EQUS","Equity Swap","Cash collateral related to equity swap trades where the return of an equity is exchanged for either a fixed or a floating rate of interest."
"iso20022_purpose_expt","purpose","EXPT","Exotic Option","Cash collateral related to trading of an exotic option for example a non-standard option."
"iso20022_purpose_extd","purpose","EXTD","Exchange Traded Derivatives","Cash collateral related to trading of exchanged traded derivatives in general (Opposite to Over the Counter (OTC))."
"iso20022_purpose_fixi","purpose","FIXI","Fixed Income","Cash collateral related to a fixed income instrument"
"iso20022_purpose_fwbc","purpose","FWBC","Forward Broker Owned Cash Collateral","Cash collateral payment against a Master Forward Agreement (MFA) where the cash is held in a segregated account and is not available for use by the client. Includes any instruments with a forward settling date such TBAs, repurchase agreements and bond forwards"
"iso20022_purpose_fwcc","purpose","FWCC","Forward Client Owned Cash Collateral","Cash collateral payment against a Master Forward Agreement (MFA) where the cash is owned and may be used by the client when returned. Includes any instruments with a forward settling date such TBAs, repurchase agreements and bond forwards"
"iso20022_purpose_fwsb","purpose","FWSB","Forward Broker Owned Cash Collateral Segregated","Any cash payment related to the collateral for a Master Agreement forward, which is segregated, and not available for use by the client. Example master agreement forwards include TBA, repo and Bond Forwards."
"iso20022_purpose_fwsc","purpose","FWSC","Forward Client Owned Segregated Cash Collateral","Any cash payment related to the collateral for a Master agreement forward, which is owned by the client and is available for use by the client when it is returned to them from the segregated account. Example master agreement forwards include TBA, repo and Bond Forwards."
"iso20022_purpose_marg","purpose","MARG","Daily Margin On Listed Derivatives","Daily margin on listed derivatives – not segregated as collateral associated with an FCM agreement. Examples
include listed futures and options margin payments; premiums for listed options not covered in the MT54X message"
"iso20022_purpose_mbsb","purpose","MBSB","MBS Broker Owned Cash Collateral","MBS Broker Owned Segregated (40Act/Dodd Frank) Cash Collateral - Any cash payment related to the collateral for a Mortgage Back Security, which is segregated, and not available for use by the client."
"iso20022_purpose_mbsc","purpose","MBSC","MBS Client Owned Cash Collateral","MBS Client Owned Cash Segregated (40Act/Dodd Frank) Cash Collateral - Any cash payment related to the collateral for a Mortgage Back Security, which is owned by the client and is available for use by the client when it is returned to them from the segregated account"
"iso20022_purpose_mgcc","purpose","MGCC","Futures Initial Margin","Initial futures margin. Where such payment is owned by the client and is available for use by them on return"
"iso20022_purpose_mgsc","purpose","MGSC","Futures Initial Margin Client Owned Segregated Cash Collateral","Margin Client Owned Segregated Cash Collateral - Any cash payment related to the collateral for initial futures margin, which is owned by the client and is available for use by the client when it is returned to them from the segregated account."
"iso20022_purpose_occc","purpose","OCCC","Client Owned OCC Pledged Collateral","Client owned collateral identified as eligible for OCC pledging"
"iso20022_purpose_opbc","purpose","OPBC","OTC Option Broker Owned Cash Collateral","Cash collateral payment for OTC options associated with an FCM agreement. Where such payment is segregated and not available for use by the client"
"iso20022_purpose_opcc","purpose","OPCC","OTC Option Client Owned Cash Collateral","Cash collateral payment for OTC options associated with an FCM agreement. Where such payment is not segregated and is available for use by the client upon return"
"iso20022_purpose_opsb","purpose","OPSB","OTC Option Broker Owned Segregated Cash Collateral","Option Broker Owned Segregated Cash Collateral - Any cash payment related to the collateral for an OTC option, which is segregated, and not available for use by the client."
"iso20022_purpose_opsc","purpose","OPSC","OTC Option Client Owned Cash Segregated Cash Collateral","Option Client Owned Cash Segregated Cash Collateral - Any cash payment related to the collateral for an OTC option, which is owned by the client and is available for use by the client when it is returned to them from the segregated account"
"iso20022_purpose_optn","purpose","OPTN","FX Option","Cash collateral related to trading of option on Foreign Exchange."
"iso20022_purpose_otcd","purpose","OTCD","OTC Derivatives","Cash collateral related to Over-the-counter (OTC) Derivatives in general for example contracts which are traded and privately negotiated."
"iso20022_purpose_repo","purpose","REPO","Repurchase Agreement","Cash collateral related to a repurchase agreement transaction."
"iso20022_purpose_rpbc","purpose","RPBC","Bilateral Repo Broker Owned Collateral","Bi-lateral repo broker owned collateral associated with a repo master agreement – GMRA or MRA Master Repo
Agreements"
"iso20022_purpose_rpcc","purpose","RPCC","Repo Client Owned Collateral","Repo client owned collateral associated with a repo master agreement – GMRA or MRA Master Repo Agreements"
"iso20022_purpose_rpsb","purpose","RPSB","Bilateral Repo Broker Owned Segregated Cash Collateral","Bi-lateral repo broker owned segregated cash collateral associated with a repo master agreement"
"iso20022_purpose_rpsc","purpose","RPSC","Bilateral Repo Client Owned Segregated Cash Collateral","Repo client owned segregated collateral associated with a repo master agreement"
"iso20022_purpose_rvpo","purpose","RVPO","Reverse Repurchase Agreement","Cash collateral related to a reverse repurchase agreement transaction."
"iso20022_purpose_sbsc","purpose","SBSC","Securities Buy Sell Sell Buy Back","Cash collateral related to a Securities Buy Sell Sell Buy Back"
"iso20022_purpose_scie","purpose","SCIE","Single Currency IRS Exotic","Cash collateral related to Exotic single currency interest rate swap."
"iso20022_purpose_scir","purpose","SCIR","Single Currency IRS","Cash collateral related to Single Currency Interest Rate Swap."
"iso20022_purpose_scrp","purpose","SCRP","Securities Cross Products","Cash collateral related to Combination of securities-related exposure types."
"iso20022_purpose_shbc","purpose","SHBC","Broker Owned Collateral Short Sale","Short Sale broker owned collateral associated with a prime broker agreement"
"iso20022_purpose_shcc","purpose","SHCC","Client Owned Collateral Short Sale","Short Sale client owned collateral associated with a prime brokerage agreement"
"iso20022_purpose_shsl","purpose","SHSL","Short Sell","Cash Collateral related to a Short Sell"
"iso20022_purpose_sleb","purpose","SLEB","Securities Lending and Borrowing","Cash collateral related to Securities lending and borrowing."
"iso20022_purpose_sloa","purpose","SLOA","Secured Loan","Cash collateral related to a Secured loan."
"iso20022_purpose_swbc","purpose","SWBC","Swap Broker Owned Cash Collateral","Cash collateral payment for swaps associated with an ISDA agreement. . Where such payment is segregated and
not available for use by the client. Includes any cash collateral payments made under the terms of a CSA agreement
for instruments such as swaps and FX forwards."
"iso20022_purpose_swcc","purpose","SWCC","Swap Client Owned Cash Collateral","Cash collateral payment for swaps associated with an ISDA agreement. Where such payment is not segregated and
is available for use by the client upon return. Includes any cash collateral payments made under the terms of a CSA
agreement for instruments such as swaps and FX forwards."
"iso20022_purpose_swpt","purpose","SWPT","Swaption","Cash collateral related to an option on interest rate swap."
"iso20022_purpose_swsb","purpose","SWSB","Swaps Broker Owned Segregated Cash Collateral","Swaps Broker Owned Segregated Cash Collateral - Any cash payment related to the collateral for Swap margin ,
which is segregated, and not available for use by the client. This includes any collateral identified in a CSA
agreement such as Swap or FX Forward collateral."
"iso20022_purpose_swsc","purpose","SWSC","Swaps Client Owned Segregated Cash Collateral","Swaps Client Owned Segregated Cash Collateral - Any cash payment related to the collateral for Swap margin,
which is owned by the client and is available for use by the client when returned from the segregated account. This
includes any collateral identified in a CSA agreement such as Swap or FX Forward collateral."
"iso20022_purpose_tbas","purpose","TBAS","To Be Announced","Cash collateral related to a To Be Announced (TBA)"
"iso20022_purpose_tbbc","purpose","TBBC","TBA Broker Owned Cash Collateral","Cash collateral payment (segregated) for TBA securities associated with a TBA Master Agreement. Where such payment is segregated and not available for use by the client."
"iso20022_purpose_tbcc","purpose","TBCC","TBA Client Owned Cash Collateral","Cash collateral payment (for use by client)for TBA securities associated with a TBA Master Agreement. Where such payment is not segregated and is available for use by the client upon return."
"iso20022_purpose_trcp","purpose","TRCP","Treasury Cross Product","Cash collateral related to a combination of treasury-related exposure types."
"iso20022_purpose_agrt","purpose","AGRT","Agricultural Transfer","Transaction is related to the agricultural domain."
"iso20022_purpose_aren","purpose","AREN","Accounts Receivables Entry","Transaction is related to a payment associated with an Account Receivable Entry"
"iso20022_purpose_bexp","purpose","BEXP","Business Expenses","Transaction is related to a payment of business expenses."
"iso20022_purpose_boce","purpose","BOCE","Back Office Conversion Entry","Transaction is related to a payment associated with a Back Office Conversion Entry"
"iso20022_purpose_comc","purpose","COMC","Commercial Payment","Transaction is related to a payment of commercial credit or debit. (formerly CommercialCredit)"
"iso20022_purpose_cpyr","purpose","CPYR","Copyright","Transaction is payment of copyright."
"iso20022_purpose_gdds","purpose","GDDS","Purchase Sale of Goods","Transaction is related to purchase and sale of goods."
"iso20022_purpose_gdsv","purpose","GDSV","Purchase Sale of Goods and Services","Transaction is related to purchase and sale of goods and services."
"iso20022_purpose_gscb","purpose","GSCB","Purchase Sale of Goods and Services with Cash Back","Transaction is related to purchase and sale of goods and services with cash back."
"iso20022_purpose_licf","purpose","LICF","License Fee","Transaction is payment of a license fee."
"iso20022_purpose_mp2b","purpose","MP2B","Mobile P2B Payment","A service which enables a user to use an app on its mobile to pay a merchant or other business payees by initiating a payment message. Within this context, the account information or an alias of the payee might be transported through different channels to the app, for example QR Code, NFC, Bluetooth, other Networks."
"iso20022_purpose_pope","purpose","POPE","Point of Purchase Entry","Transaction is related to a payment associated with a Point of Purchase Entry."
"iso20022_purpose_roya","purpose","ROYA","Royalties","Transaction is the payment of royalties."
"iso20022_purpose_scve","purpose","SCVE","Purchase Sale of Services","Transaction is related to purchase and sale of services."
"iso20022_purpose_serv","purpose","SERV","Service Charges","Transaction is related to service charges charged by a service provider."
"iso20022_purpose_subs","purpose","SUBS","Subscription","Transaction is related to a payment of information or entertainment services either in printed or electronic form."
"iso20022_purpose_supp","purpose","SUPP","Supplier Payment","Transaction is related to a payment to a supplier."
"iso20022_purpose_trad","purpose","TRAD","Commercial","Transaction is related to a trade services operation."
"iso20022_purpose_char","purpose","CHAR","Charity Payment","Transaction is a payment for charity reasons."
"iso20022_purpose_comt","purpose","COMT","Consumer Third Party Consolidated Payment","Transaction is a payment used by a third party who can collect funds to pay on behalf of consumers, ie credit counseling or bill payment companies."
"iso20022_purpose_mp2p","purpose","MP2P","Mobile P2P Payment","A service which enables a user to use an app on its mobile to initiate moving funds from his/her bank account to another person’s bank account while not using the account number  but an alias information like an MSISDN as account addressing information in his/her app."
"iso20022_purpose_ecpg","purpose","ECPG","Guaranteed ePayment","E-Commerce payment with payment guarantee of the issuing bank."
"iso20022_purpose_ecpr","purpose","ECPR","ePayment Return","E-Commerce payment return."
"iso20022_purpose_ecpu","purpose","ECPU","Non Guaranteed ePayment","E-Commerce payment without payment guarantee of the issuing bank."
"iso20022_purpose_epay","purpose","EPAY","ePayment","Transaction is related to ePayment."
"iso20022_purpose_clpr","purpose","CLPR","Car Loan Principal Repayment","Transaction is a payment of car loan principal payment."
"iso20022_purpose_comp","purpose","COMP","Compensation Payment","Transaction is related to the payment of a compensation relating to interest loss/value date adjustment and can include fees."
"iso20022_purpose_dbtc","purpose","DBTC","Debit Collection Payment","Collection of funds initiated via a debit transfer."
"iso20022_purpose_govi","purpose","GOVI","Government Insurance","Transaction is related to a payment of government insurance."
"iso20022_purpose_hlrp","purpose","HLRP","Property Loan Repayment","Transaction is related to a payment of property loan."
"iso20022_purpose_hlst","purpose","HLST","Property Loan Settlement","Transaction is related to the settlement of a property loan."
"iso20022_purpose_inpc","purpose","INPC","Insurance Premium Car","Transaction is a payment of car insurance premium."
"iso20022_purpose_inpr","purpose","INPR","Insurance Premium Refund","Transaction is related to an insurance premium refund."
"iso20022_purpose_insc","purpose","INSC","Payment of Insurance Claim","Transaction is related to the payment of an insurance claim."
"iso20022_purpose_insu","purpose","INSU","Insurance Premium","Transaction is payment of an insurance premium."
"iso20022_purpose_inte","purpose","INTE","Interest","Transaction is payment of interest."
"iso20022_purpose_lbri","purpose","LBRI","Labor Insurance","Transaction is a payment of labor insurance."
"iso20022_purpose_lifi","purpose","LIFI","Life Insurance","Transaction is a payment of life insurance."
"iso20022_purpose_loan","purpose","LOAN","Loan","Transaction is related to transfer of loan to borrower."
"iso20022_purpose_loar","purpose","LOAR","Loan Repayment","Transaction is related to repayment of loan to lender."
"iso20022_purpose_peno","purpose","PENO","Payment Based on Enforcement Order","Payment based on enforcement orders except those arising from judicial alimony decrees."
"iso20022_purpose_ppti","purpose","PPTI","Property Insurance","Transaction is a payment of property insurance."
"iso20022_purpose_relg","purpose","RELG","Rental Lease General","Transaction is for general rental/lease."
"iso20022_purpose_rinp","purpose","RINP","Recurring Installment Payment","Transaction is related to a payment of a recurring installment made at regular intervals."
"iso20022_purpose_trfd","purpose","TRFD","Trust Fund","Transaction is related to a payment of a trust fund."
"iso20022_purpose_forw","purpose","FORW","Forward Foreign Exchange","FX trades with a value date in the future."
"iso20022_purpose_fxnt","purpose","FXNT","Foreign Exchange Related Netting","FX netting if cash is moved by separate wire instead of within the closing FX instruction"
"iso20022_purpose_admg","purpose","ADMG","Administrative Management","Transaction is related to a payment associated with administrative management."
"iso20022_purpose_adva","purpose","ADVA","Advance Payment","Transaction is an advance payment."
"iso20022_purpose_bcdm","purpose","BCDM","Bearer Cheque Domestic","Transaction is the payment of a domestic bearer cheque."
"iso20022_purpose_bcfg","purpose","BCFG","Bearer Cheque Foreign","Transaction is the payment of a foreign bearer cheque."
"iso20022_purpose_bldm","purpose","BLDM","Building Maintenance","Transaction is related to a payment associated with building maintenance."
"iso20022_purpose_bnet","purpose","BNET","Bond Forward Netting","Bond Forward pair-off cash net movement"
"iso20022_purpose_cbff","purpose","CBFF","Capital Building","Transaction is related to capital building fringe fortune, ie capital building in general"
"iso20022_purpose_cbfr","purpose","CBFR","Capital Building Retirement","Transaction is related to capital building fringe fortune for retirement"
"iso20022_purpose_ccrd","purpose","CCRD","Credit Card Payment","Transaction is related to a payment of credit card account."
"iso20022_purpose_cdbl","purpose","CDBL","Credit Card Bill","Transaction is related to a payment of credit card bill."
"iso20022_purpose_cfee","purpose","CFEE","Cancellation Fee","Transaction is related to a payment of cancellation fee."
"iso20022_purpose_cgdd","purpose","CGDD","Card Generated Direct Debit","Transaction is related to a direct debit where the mandate was generated by using data from a payment card at the point of sale."
"iso20022_purpose_cort","purpose","CORT","Trade Settlement Payment","Transaction is related to settlement of a trade, e.g. a foreign exchange deal or a securities transaction."
"iso20022_purpose_cost","purpose","COST","Costs","Transaction is related to payment of costs."
"iso20022_purpose_cpkc","purpose","CPKC","Carpark Charges","Transaction is related to carpark charges."
"iso20022_purpose_dcrd","purpose","DCRD","Debit Card Payment","Transaction is related to a debit card payment."
"iso20022_purpose_dsmt","purpose","DSMT","Printed Order Disbursement","Transaction is the payment of a disbursement due to a specific type of printed order for a payment of a  specified sum, issued by a bank or a post office (Zahlungsanweisung zur Verrechnung)"
"iso20022_purpose_dvpm","purpose","DVPM","Deliver Against Payment","Code used to pre-advise the account servicer of a forthcoming deliver against payment instruction."
"iso20022_purpose_educ","purpose","EDUC","Education","Transaction is related to a payment of study/tuition fees."
"iso20022_purpose_fact","purpose","FACT","Factor Update Related Payment","Payment related to a factor update"
"iso20022_purpose_fand","purpose","FAND","Financial Aid in Case of Natural Disaster","Financial aid by State authorities for abolition of consequences of natural disasters."
"iso20022_purpose_fcpm","purpose","FCPM","Late Payment of Fees and Charges","Transaction is the payment for late fees & charges. E.g Credit card charges"
"iso20022_purpose_fees","purpose","FEES","Payment of Fees","Payment of fees/charges."
"iso20022_purpose_gift","purpose","GIFT","Gift","Payment with no commercial or statutory purpose."
"iso20022_purpose_govt","purpose","GOVT","Government Payment","Transaction is a payment to or from a government department."
"iso20022_purpose_iccp","purpose","ICCP","Irrevocable Credit Card Payment","Transaction is reimbursement of credit card payment."
"iso20022_purpose_idcp","purpose","IDCP","Irrevocable Debit Card Payment","Transaction is reimbursement of debit card payment."
"iso20022_purpose_ihrp","purpose","IHRP","Instalment Hire Purchase Agreement","Transaction is payment for an installment/hire-purchase agreement."
"iso20022_purpose_insm","purpose","INSM","Installment","Transaction is related to a payment of an installment."
"iso20022_purpose_ivpt","purpose","IVPT","Invoice Payment","Transaction is the payment for invoices."
"iso20022_purpose_mcdm","purpose","MCDM","Multi Curreny Cheque Domestic","Transaction is the payment of a domestic multi-currency cheque"
"iso20022_purpose_mcfg","purpose","MCFG","Multi Curreny Cheque Foreign","Transaction is the payment of a foreign multi-currency cheque"
"iso20022_purpose_msvc","purpose","MSVC","Multiple Service Types","Transaction is related to a payment for multiple service types."
"iso20022_purpose_nows","purpose","NOWS","Not Otherwise Specified","Transaction is related to a payment for type of services not specified elsewhere."
"iso20022_purpose_ocdm","purpose","OCDM","Order Cheque Domestic","Transaction is the payment of a domestic order cheque"
"iso20022_purpose_ocfg","purpose","OCFG","Order Cheque Foreign","Transaction is the payment of a foreign order cheque"
"iso20022_purpose_ofee","purpose","OFEE","Opening Fee","Transaction is related to a payment of opening fee."
"iso20022_purpose_othr","purpose","OTHR","Other","Other payment purpose."
"iso20022_purpose_padd","purpose","PADD","Preauthorized Debit","Transaction is related to a pre-authorized debit origination"
"iso20022_purpose_ptsp","purpose","PTSP","Payment Terms","Transaction is related to payment terms specifications"
"iso20022_purpose_rcke","purpose","RCKE","Represented Check Entry","Transaction is related to a payment associated with a re-presented check entry"
"iso20022_purpose_rcpt","purpose","RCPT","Receipt Payment","Transaction is related to a payment of receipt."
"iso20022_purpose_rebt","purpose","REBT","Rebate","Transaction is the payment of a rebate."
"iso20022_purpose_refu","purpose","REFU","Refund","Transaction is the payment of a refund."
"iso20022_purpose_rent","purpose","RENT","Rent","Transaction is the payment of rent."
"iso20022_purpose_reod","purpose","REOD","Account Overdraft Repayment","Transaction is for account overdraft repayment"
"iso20022_purpose_rimb","purpose","RIMB","Reimbursement of a Previous Erroneous Transaction","Transaction is related to a reimbursement of a previous erroneous transaction."
"iso20022_purpose_rpnt","purpose","RPNT","Bilateral Repo Internet Netting","Bi-lateral repo interest net/bulk payment at rollover/pair-off or other closing scenarios where applicable"
"iso20022_purpose_rrbn","purpose","RRBN","Round Robin","Cash payment resulting from a Round Robin"
"iso20022_purpose_rrct","purpose","RRCT","Reimbursement Received Credit Transfer","Transaction is related to a reimbursement for commercial reasons of a correctly received credit transfer."
"iso20022_purpose_rrtp","purpose","RRTP","Related Request To Pay","Transaction is related to a Request to Pay."
"iso20022_purpose_rvpm","purpose","RVPM","Receive Against Payment","Code used to pre-advise the account servicer of a forthcoming receive against payment instruction."
"iso20022_purpose_slpi","purpose","SLPI","Payment Slip Instruction","Transaction is payment of a well formatted payment slip."
"iso20022_purpose_splt","purpose","SPLT","Split Payments","Split payments. To be used when cash and security movements for a security trade settlement are instructed
separately."
