"id","field","code","name","description"
"iso20022_category_purpose_bonu","category_purpose","BONU","Bonus Payment","Transaction is the payment of a bonus."
"iso20022_category_purpose_cash","category_purpose","CASH","Cash Management Transfer","Transaction is a general cash management instruction."
"iso20022_category_purpose_cblk","category_purpose","CBLK","Card Bulk Clearing","A service that is settling money for a bulk of card transactions, while referring to a specific transaction file or other information like terminal ID, card acceptor ID or other transaction details."
"iso20022_category_purpose_ccrd","category_purpose","CCRD","Credit Card Payment","Transaction is related to a payment of credit card."
"iso20022_category_purpose_cort","category_purpose","CORT","Trade Settlement Payment","Transaction is related to settlement of a trade, eg a foreign exchange deal or a securities transaction."
"iso20022_category_purpose_dcrd","category_purpose","DCRD","Debit Card Payment","Transaction is related to a payment of debit card."
"iso20022_category_purpose_divi","category_purpose","DIVI","Dividend","Transaction is the payment of dividends."
"iso20022_category_purpose_dvpm","category_purpose","DVPM","Deliver Against Payment","Code used to pre-advise the account servicer of a forthcoming deliver against payment instruction."
"iso20022_category_purpose_epay","category_purpose","EPAY","ePayment","Transaction is related to ePayment."
"iso20022_category_purpose_fcin","category_purpose","FCIN","Fee Collection and Interest","Transaction is related to the payment of a fee and interest."
"iso20022_category_purpose_fcol","category_purpose","FCOL","Fee Collection","A service that is settling card transaction related fees between two parties."
"iso20022_category_purpose_gp2p","category_purpose","GP2P","Personto Person Payment","General Person-to-Person Payment. Debtor and Creditor are natural persons."
"iso20022_category_purpose_govt","category_purpose","GOVT","Government Payment","Transaction is a payment to or from a government department."
"iso20022_category_purpose_hedg","category_purpose","HEDG","Hedging","Transaction is related to the payment of a hedging operation."
"iso20022_category_purpose_iccp","category_purpose","ICCP","Irrevocable Credit Card Payment","Transaction is reimbursement of credit card payment."
"iso20022_category_purpose_idcp","category_purpose","IDCP","Irrevocable Debit Card Payment","Transaction is reimbursement of debit card payment."
"iso20022_category_purpose_intc","category_purpose","INTC","Intra Company Payment","Transaction is an intra-company payment, ie, a payment between two companies belonging to the same group."
"iso20022_category_purpose_inte","category_purpose","INTE","Interest","Transaction is the payment of interest."
"iso20022_category_purpose_lbox","category_purpose","LBOX","Lockbox Transactions","Transaction is related to identify cash handling via Night Safe or Lockbox by bank or vendor on behalf of a physical store."
